"","Date_reported","New_cases"
"1072","2023-01-01",420
"1073","2023-01-02",361
"1074","2023-01-03",332
"1075","2023-01-04",433
"1076","2023-01-05",571
"1077","2023-01-06",543
"1078","2023-01-07",571
"1079","2023-01-08",405
"1080","2023-01-09",383
"1081","2023-01-10",380
"1082","2023-01-11",367
"1083","2023-01-12",383
"1084","2023-01-13",320
"1085","2023-01-14",287
"1086","2023-01-15",244
"1087","2023-01-16",227
"1088","2023-01-17",350
"1089","2023-01-18",371
"1090","2023-01-19",318
"1091","2023-01-20",285
"1092","2023-01-21",293
"1093","2023-01-22",309
"1094","2023-01-23",142
"1095","2023-01-24",101
"1096","2023-01-25",132
"1097","2023-01-26",172
"1098","2023-01-27",236
"1099","2023-01-28",258
"1100","2023-01-29",269
"1101","2023-01-30",202
"1102","2023-01-31",251
"1103","2023-02-01",325
"1104","2023-02-02",324
"1105","2023-02-03",340
"1106","2023-02-04",202
"1107","2023-02-05",211
"1108","2023-02-06",175
"1109","2023-02-07",184
"1110","2023-02-08",189
"1111","2023-02-09",269
"1112","2023-02-10",255
"1113","2023-02-11",259
"1114","2023-02-12",160
"1115","2023-02-13",164
"1116","2023-02-14",200
"1117","2023-02-15",237
"1118","2023-02-16",281
"1119","2023-02-17",241
"1120","2023-02-18",212
"1121","2023-02-19",186
"1122","2023-02-20",167
"1123","2023-02-21",184
"1124","2023-02-22",229
"1125","2023-02-23",224
"1126","2023-02-24",172
"1127","2023-02-25",205
"1128","2023-02-26",207
"1129","2023-02-27",190
"1130","2023-02-28",206
"1131","2023-03-01",217
"1132","2023-03-02",244
"1133","2023-03-03",170
"1134","2023-03-04",204
"1135","2023-03-05",164
"1136","2023-03-06",188
"1137","2023-03-07",226
"1138","2023-03-08",235
"1139","2023-03-09",279
"1140","2023-03-10",0
"1141","2023-03-11",474
"1142","2023-03-12",0
"1143","2023-03-13",0
"1144","2023-03-14",0
"1145","2023-03-15",0
"1146","2023-03-16",0
"1147","2023-03-17",0
"1148","2023-03-18",1848
"1149","2023-03-19",0
"1150","2023-03-20",0
"1151","2023-03-21",0
"1152","2023-03-22",0
"1153","2023-03-23",0
"1154","2023-03-24",0
"1155","2023-03-25",2228
"1156","2023-03-26",0
"1157","2023-03-27",0
"1158","2023-03-28",0
"1159","2023-03-29",0
"1160","2023-03-30",0
"1161","2023-03-31",0
