"","date","cases"
"1",2023-01-01,4
"2",2023-01-02,6
"3",2023-01-03,3
"4",2023-01-04,3
"5",2023-01-05,5
"6",2023-01-06,4
"7",2023-01-07,3
"8",2023-01-08,3
"9",2023-01-09,4
"10",2023-01-10,4
"11",2023-01-11,3
"12",2023-01-12,5
"13",2023-01-13,5
"14",2023-01-14,4
"15",2023-01-15,4
"16",2023-01-16,4
"17",2023-01-17,4
"18",2023-01-18,3
"19",2023-01-19,4
"20",2023-01-20,4
"21",2023-01-21,4
"22",2023-01-22,4
"23",2023-01-23,5
"24",2023-01-24,4
"25",2023-01-25,4
"26",2023-01-26,3
"27",2023-01-27,4
"28",2023-01-28,4
"29",2023-01-29,4
"30",2023-01-30,4
"31",2023-01-31,4
"32",2023-02-01,4
"33",2023-02-02,4
"34",2023-02-03,4
"35",2023-02-04,4
"36",2023-02-05,4
"37",2023-02-06,4
"38",2023-02-07,4
"39",2023-02-08,4
"40",2023-02-09,4
"41",2023-02-10,4
"42",2023-02-11,4
"43",2023-02-12,4
"44",2023-02-13,4
"45",2023-02-14,4
"46",2023-02-15,4
"47",2023-02-16,4
"48",2023-02-17,4
"49",2023-02-18,4
"50",2023-02-19,4
"51",2023-02-20,4
"52",2023-02-21,4
"53",2023-02-22,4
"54",2023-02-23,4
"55",2023-02-24,4
"56",2023-02-25,4
"57",2023-02-26,4
"58",2023-02-27,4
"59",2023-02-28,4
"60",2023-03-01,4
"61",2023-03-02,4
"62",2023-03-03,4
"63",2023-03-04,4
"64",2023-03-05,4
"65",2023-03-06,4
"66",2023-03-07,4
"67",2023-03-08,4
"68",2023-03-09,4
"69",2023-03-10,4
"70",2023-03-11,4
"71",2023-03-12,4
"72",2023-03-13,4
"73",2023-03-14,4
"74",2023-03-15,4
"75",2023-03-16,4
"76",2023-03-17,4
"77",2023-03-18,4
"78",2023-03-19,4
"79",2023-03-20,4
"80",2023-03-21,4
"81",2023-03-22,4
"82",2023-03-23,4
"83",2023-03-24,4
"84",2023-03-25,4
"85",2023-03-26,4
"86",2023-03-27,4
"87",2023-03-28,4
"88",2023-03-29,4
"89",2023-03-30,4
"90",2023-03-31,4
