"","Date_reported","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths"
"153024","2020-01-26",4,4,0,0
"153025","2020-01-27",0,4,0,0
"153026","2020-01-28",0,4,0,0
"153027","2020-01-29",0,4,0,0
"153028","2020-01-30",3,7,0,0
"153029","2020-01-31",1,8,0,0
"153030","2020-02-01",0,8,0,0
"153031","2020-02-02",0,8,0,0
"153032","2020-02-03",0,8,0,0
"153033","2020-02-04",1,9,0,0
"153034","2020-02-05",1,10,0,0
"153035","2020-02-06",2,12,0,0
"153036","2020-02-07",2,14,0,0
"153037","2020-02-08",1,15,0,0
"153038","2020-02-09",1,16,0,0
"153039","2020-02-10",1,17,0,0
"153040","2020-02-11",1,18,0,0
"153041","2020-02-12",0,18,0,0
"153042","2020-02-13",0,18,0,0
"153043","2020-02-14",1,19,0,0
"153044","2020-02-15",0,19,0,0
"153045","2020-02-16",3,22,0,0
"153046","2020-02-17",0,22,0,0
"153047","2020-02-18",0,22,0,0
"153048","2020-02-19",0,22,0,0
"153049","2020-02-20",0,22,0,0
"153050","2020-02-21",0,22,0,0
"153051","2020-02-22",0,22,0,0
"153052","2020-02-23",0,22,0,0
"153053","2020-02-24",0,22,0,0
"153054","2020-02-25",0,22,0,0
"153055","2020-02-26",0,22,0,0
"153056","2020-02-27",0,22,0,0
"153057","2020-02-28",2,24,0,0
"153058","2020-02-29",1,25,0,0
"153059","2020-03-01",0,25,0,0
"153060","2020-03-02",0,25,0,0
"153061","2020-03-03",4,29,0,0
"153062","2020-03-04",7,36,0,0
"153063","2020-03-05",14,50,0,0
"153064","2020-03-06",5,55,0,0
"153065","2020-03-07",28,83,0,0
"153066","2020-03-08",10,93,0,0
"153067","2020-03-09",6,99,0,0
"153068","2020-03-10",18,117,0,0
"153069","2020-03-11",0,117,0,0
"153070","2020-03-12",32,149,0,0
"153071","2020-03-13",9,158,0,0
"153072","2020-03-14",39,197,0,0
"153073","2020-03-15",41,238,0,0
